City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
208,Kuryk,KZ,43.2,51.65,55.08,58,48,24.16,scattered clouds
209,Gladstone,AU,-23.85,151.25,76.78,70,55,12.75,broken clouds
210,Warmbad,NA,-28.45,18.7333,71.94,45,11,7.02,few clouds
211,Port Hardy,CA,50.6996,-127.4199,48.38,100,100,2.3,moderate rain
212,Meulaboh,ID,4.1363,96.1285,76.15,84,100,3.6,overcast clouds
213,Jalapa,MX,19.5333,-96.9167,59.09,100,100,2.28,overcast clouds
214,San Cristobal,VE,7.7669,-72.225,73.58,98,100,1.16,overcast clouds
215,Russell,US,32.3502,-85.1999,56.8,81,0,3.44,clear sky
216,Taltal,CL,-25.4,-70.4833,59.02,75,22,4.12,few clouds
217,Plettenberg Bay,ZA,-34.0527,23.3716,60.93,84,83,1.88,broken clouds
218,Tabuk,PH,17.4189,121.4443,80.51,82,100,3.15,overcast clouds
219,Mount Isa,AU,-20.7333,139.5,86.49,18,0,2.95,clear sky
220,Bandarbeyla,SO,9.4942,50.8122,77.0,87,75,8.37,broken clouds
221,Hailar,CN,49.2,119.7,33.22,66,100,6.38,overcast clouds
222,Tonekabon,IR,36.8163,50.8738,64.35,90,97,2.53,light rain
223,Lavrentiya,RU,65.5833,-171.0,33.89,95,46,3.76,scattered clouds
224,Guatire,VE,10.4762,-66.5427,78.21,96,50,0.96,scattered clouds
225,Cherskiy,RU,68.75,161.3,14.22,94,100,6.46,overcast clouds
226,Korla,CN,41.7597,86.1469,47.01,38,0,4.29,clear sky
227,Severo-Yeniseyskiy,RU,60.3725,93.0408,33.17,87,96,8.5,overcast clouds
228,Nome,US,64.5011,-165.4064,39.27,82,100,6.91,overcast clouds
229,Faanui,PF,-16.4833,-151.75,79.74,74,11,12.33,few clouds
230,Arraial Do Cabo,BR,-22.9661,-42.0278,72.39,91,100,23.0,moderate rain
231,Coos Bay,US,43.3665,-124.2179,57.99,99,100,14.97,mist
232,Roma,US,43.2128,-75.4557,54.09,47,0,8.05,clear sky
233,Atar,MR,20.5169,-13.0499,87.75,15,0,8.97,clear sky
234,Mildura,AU,-34.2,142.15,66.16,82,100,6.91,overcast clouds
235,Bugarama,TZ,-2.8706,30.5281,62.98,88,100,2.59,light rain
236,Tandil,AR,-37.3217,-59.1332,46.24,100,100,16.11,light rain
237,Kirakira,SB,-10.4544,161.9205,82.74,77,100,4.52,overcast clouds
238,Zeya,RU,53.75,127.2667,33.69,48,8,3.51,clear sky
239,Lumeje,AO,-11.55,20.7833,66.34,81,100,4.68,light rain
240,Nzerekore,GN,7.7562,-8.8179,68.04,97,77,1.5,broken clouds
241,Bay Roberts,CA,47.5999,-53.2648,53.33,92,100,6.29,overcast clouds
242,Coquimbo,CL,-29.9533,-71.3436,55.13,94,100,2.3,overcast clouds
243,Yambio,SS,4.5721,28.3955,67.75,98,100,1.61,overcast clouds
244,Ambon,ID,-3.6954,128.1814,87.94,66,20,4.61,few clouds
245,Ocampo,MX,21.65,-101.5,59.49,30,67,8.01,broken clouds
246,Kenitra,MA,34.261,-6.5802,61.56,93,99,3.8,overcast clouds
247,Dzilam Gonzalez,MX,21.2833,-88.9333,69.24,70,0,4.9,clear sky
248,Waingapu,ID,-9.6567,120.2641,85.75,67,47,3.67,scattered clouds
249,Lithakia,GR,37.7167,20.8333,49.37,68,59,7.0,broken clouds
250,Seoul,KR,37.5683,126.9778,62.17,72,40,1.14,haze
251,Aginskoye,RU,51.1,114.53,32.76,53,100,3.71,overcast clouds
252,Champerico,GT,14.3,-91.9167,80.92,77,65,7.02,light rain
253,Cidreira,BR,-30.1811,-50.2056,64.15,95,100,13.22,overcast clouds
254,Hohhot,CN,40.8106,111.6522,41.29,48,0,4.47,clear sky
255,Ocean City,US,39.2776,-74.5746,59.0,65,0,7.0,clear sky
256,Rio Grande,BR,-32.035,-52.0986,58.44,94,0,7.31,clear sky
257,Osypenko,UA,46.9136,36.8253,41.05,64,7,1.83,clear sky
258,Marzuq,YE,14.4,46.4667,64.8,66,0,0.78,clear sky
259,Porto Nacional,BR,-10.7081,-48.4172,84.99,36,14,1.66,few clouds
260,Saint-Philippe,RE,-21.3585,55.7679,67.59,81,17,8.01,few clouds
261,Soyo,AO,-6.1349,12.3689,76.37,88,98,7.61,overcast clouds
262,Marystown,CA,47.1666,-55.1483,51.22,85,100,7.7,overcast clouds
263,Poienile Izei,RO,47.7,24.1167,46.11,49,100,3.47,overcast clouds
264,Olafsvik,IS,64.8945,-23.7142,39.63,71,100,3.42,overcast clouds
265,Nosy Varika,MG,-20.5833,48.5333,67.75,84,92,2.95,overcast clouds
266,Korampallam,IN,8.7667,78.1,77.29,88,75,2.3,mist
267,Thompson,CA,55.7435,-97.8558,35.76,75,100,12.66,light snow
268,Khatanga,RU,71.9667,102.5,2.77,97,69,3.67,broken clouds
269,Machilipatnam,IN,16.1667,81.1333,75.22,90,21,9.35,few clouds
270,Saurimo,AO,-9.6608,20.3916,64.69,92,97,2.42,overcast clouds
271,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,65,0,7.0,clear sky
272,Siverskiy,RU,59.3544,30.0783,40.91,89,100,3.83,overcast clouds
273,Chumikan,RU,54.7183,135.315,36.3,51,8,12.15,clear sky
274,Necochea,AR,-38.5473,-58.7368,46.47,78,100,10.92,overcast clouds
275,Marang,MY,5.2056,103.2059,82.96,80,99,2.37,overcast clouds
276,Abha,SA,18.2164,42.5053,55.65,41,0,4.61,clear sky
277,Khanpur,PK,28.6453,70.6567,73.53,37,1,4.52,clear sky
278,Balkhash,KZ,46.844,74.9804,39.81,70,0,6.71,clear sky
279,Chapais,CA,49.7834,-74.8492,44.38,71,100,14.94,overcast clouds
280,Kloulklubed,PW,7.0419,134.2556,84.7,76,55,7.09,broken clouds
281,Ilulissat,GL,69.2167,-51.1,35.62,87,75,3.44,broken clouds
282,Saint-Leu,RE,-21.15,55.2833,70.63,72,1,1.21,clear sky
283,Alofi,NU,-19.0595,-169.9187,80.49,78,98,11.5,overcast clouds
284,Cabo San Lucas,MX,22.8909,-109.9124,83.61,75,42,7.0,scattered clouds
285,Pacific Grove,US,36.6177,-121.9166,59.23,86,100,5.01,overcast clouds
286,Yar-Sale,RU,66.8333,70.8333,29.21,95,100,4.92,overcast clouds
287,Mitsamiouli,KM,-11.3847,43.2844,75.69,77,17,14.0,few clouds
288,Cairns,AU,-16.9167,145.7667,91.11,58,0,4.61,clear sky
289,Jining,CN,35.405,116.5814,70.12,42,0,5.26,clear sky
290,Tanggu,CN,39.0211,117.6469,64.36,30,0,11.63,clear sky
291,Baruun-Urt,MN,46.6806,113.2792,37.8,52,39,12.84,scattered clouds
292,San Quintin,MX,30.4833,-115.95,68.63,81,87,2.37,overcast clouds
293,Marawi,PH,7.9986,124.2928,81.19,66,85,3.38,overcast clouds
294,Norrtalje,SE,59.758,18.705,49.01,91,70,4.43,broken clouds
295,Filadelfia,US,39.9523,-75.1638,55.76,57,0,4.61,clear sky
296,Ambovombe,MG,-25.1667,46.0833,70.12,69,0,5.61,clear sky
297,Kawalu,ID,-7.3817,108.2082,82.58,72,99,1.97,overcast clouds
298,Kudahuvadhoo,MV,2.6708,72.8944,81.82,72,28,14.52,scattered clouds
299,Fort Nelson,CA,58.8053,-122.7002,40.59,81,100,0.0,light rain
300,Ixtapa,MX,20.7,-105.2,83.43,79,100,8.05,overcast clouds
301,Papagaios,BR,-19.4492,-44.7478,72.7,68,100,4.12,overcast clouds
302,Ratnagiri,IN,16.9833,73.3,78.87,81,69,6.13,broken clouds
303,Pecos,US,31.4229,-103.4932,78.3,40,0,4.61,clear sky
304,Saskylakh,RU,71.9167,114.0833,13.64,94,100,5.19,overcast clouds
305,Guanica,PR,17.9716,-66.908,77.97,90,79,4.38,broken clouds
306,Bondoukou,CI,8.0333,-2.8,72.07,81,14,3.8,few clouds
307,Tharad,IN,24.3961,71.6267,75.15,32,0,5.28,clear sky
308,Moerai,PF,-22.4333,-151.3333,73.9,87,26,17.74,scattered clouds
309,Freetown,SL,8.484,-13.2299,77.22,85,100,4.97,overcast clouds
310,Abalak,RU,58.1286,68.5944,28.6,88,48,6.2,scattered clouds
311,Vestmanna,FO,62.1564,-7.1664,40.12,87,69,12.66,broken clouds
312,Penzance,GB,50.1186,-5.5371,59.77,83,100,16.6,overcast clouds
313,Tiarei,PF,-17.5333,-149.3333,77.81,79,14,16.53,few clouds
314,Kyren,RU,51.6828,102.1408,37.54,61,14,0.67,few clouds
315,Strezhevoy,RU,60.7333,77.5889,33.26,83,100,9.44,overcast clouds
316,Byron Bay,AU,-28.65,153.6167,69.94,74,100,14.76,light rain
317,Omboue,GA,-1.5746,9.2618,75.79,89,98,5.41,light rain
318,Galle,LK,6.0367,80.217,77.09,88,100,7.4,overcast clouds
319,Nuuk,GL,64.1835,-51.7216,41.61,81,75,32.21,light snow
320,Mar Del Plata,AR,-38.0023,-57.5575,54.09,83,100,19.57,light rain
321,Tiznit,MA,29.5833,-9.5,76.17,23,56,9.6,broken clouds
322,Kushima,JP,31.4583,131.2333,76.8,58,35,6.76,scattered clouds
323,Hasaki,JP,35.7333,140.8333,73.22,63,100,19.1,overcast clouds
324,Tazovskiy,RU,67.4667,78.7,29.5,90,99,13.47,overcast clouds
