City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
618,Pringsewu,ID,82.9,overcast clouds,-5.3582,104.9744,Urban Style by Front One
623,Singkang,MY,84.09,broken clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
628,Magangue,CO,75.83,overcast clouds,9.242,-74.7547,Abu Dhabi hotel´s
637,Puerto Colombia,CO,78.89,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
638,Kavaratti,IN,81.25,scattered clouds,10.5669,72.642,Green leaf
640,Mareeba,AU,86.49,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
642,Bacolod,PH,86.43,overcast clouds,10.6667,122.95,Planta Hotel & Residences
644,Neiafu,TO,83.08,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
645,Diebougou,BF,75.72,clear sky,10.9667,-3.25,Famille Isola (Alhadj Ismaïl )
650,Adrar,MR,80.29,overcast clouds,20.5022,-10.0711,
652,Mbini,GQ,76.84,moderate rain,1.574,9.6134,Candy Vista Mar Mbini
656,Dickinson,US,75.94,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
659,Matara,LK,76.77,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
662,Morros,BR,81.77,broken clouds,-9.4467,-46.3003,
667,Catuday,PH,81.07,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
669,Umm Lajj,SA,79.11,clear sky,25.0213,37.2685,Moon light Furnished Units
670,Thai Binh,VN,77.72,overcast clouds,20.45,106.3333,Sweden Hotel
673,Noumea,NC,85.98,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
676,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
679,Sola,VU,79.11,moderate rain,-13.8833,167.55,Leumerus Bungalows
681,Stillwater,US,77.61,clear sky,36.1156,-97.0584,Hampton Inn & Suites Stillwater
