City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
208,Bria,6.5423,21.9863,68.14,96,100,2.55,CF,2022-10-20 23:18:18
209,Tautira,-17.7333,-149.15,77.16,80,53,17.81,PF,2022-10-20 23:21:36
210,Moshenskoye,58.5102,34.5911,38.97,95,100,5.53,RU,2022-10-20 23:21:36
211,Bluff,-46.6,168.3333,48.58,51,56,11.56,NZ,2022-10-20 23:21:37
212,Svit,49.0601,20.2069,40.12,93,0,4.61,SK,2022-10-20 23:21:38
213,Riyadh,24.6877,46.7219,69.94,14,0,6.2,SA,2022-10-20 23:19:34
214,Dunedin,-45.8742,170.5036,48.79,65,83,14.0,NZ,2022-10-20 23:21:39
215,Reshetikha,56.2189,43.2936,35.33,92,8,5.12,RU,2022-10-20 23:21:39
216,Rocky Mountain House,52.3668,-114.9188,53.71,35,55,6.91,CA,2022-10-20 23:21:40
217,Saint-Max,48.7043,6.21,58.55,97,100,6.91,FR,2022-10-20 23:21:40
218,Haines Junction,60.7522,-137.5108,44.55,53,99,8.05,CA,2022-10-20 23:21:41
219,Calama,-22.4667,-68.9333,64.89,7,0,19.57,CL,2022-10-20 23:21:42
220,Thompson,55.7435,-97.8558,51.96,62,75,6.91,CA,2022-10-20 23:21:42
221,Tena,-0.9833,-77.8167,72.82,96,85,1.12,EC,2022-10-20 23:21:43
222,Rudnyy,52.9594,63.1206,41.23,85,99,3.22,KZ,2022-10-20 23:21:44
223,San Joaquin,37.9333,-121.3011,91.85,22,0,3.44,US,2022-10-20 23:21:44
224,Griffith,41.5284,-87.4237,60.73,43,0,4.61,US,2022-10-20 23:21:45
225,Sebinkarahisar,40.2883,38.4236,46.13,77,100,5.91,TR,2022-10-20 23:21:46
226,Comodoro Rivadavia,-45.8667,-67.5,48.06,66,0,6.91,AR,2022-10-20 23:21:46
227,Nanpiao,41.0982,120.7479,52.95,44,57,6.13,CN,2022-10-20 23:22:17
228,Cedar City,37.6775,-113.0619,70.77,16,0,3.44,US,2022-10-20 23:18:27
229,Saint Anthony,45.0205,-93.218,58.93,45,0,5.75,US,2022-10-20 23:22:18
230,Zaykovo,57.5613,62.7568,33.66,78,11,8.61,RU,2022-10-20 23:22:19
231,Kyren,51.6828,102.1408,25.79,75,77,2.62,RU,2022-10-20 23:22:20
232,Talnakh,69.4865,88.3972,36.21,98,100,17.05,RU,2022-10-20 23:22:22
233,Alyangula,-13.8483,136.4192,85.12,64,78,6.6,AU,2022-10-20 23:22:23
234,Marawi,7.9986,124.2928,72.39,89,99,0.54,PH,2022-10-20 23:22:23
235,Huichapan,20.3833,-99.65,67.46,46,67,8.5,MX,2022-10-20 23:22:24
236,Fortuna,40.5982,-124.1573,54.52,100,100,14.97,US,2022-10-20 23:22:24
237,Kidal,18.4411,1.4078,79.72,18,4,12.62,ML,2022-10-20 23:22:25
238,Port Elizabeth,-33.918,25.5701,59.29,82,20,4.61,ZA,2022-10-20 23:18:15
239,Shelburne,44.0787,-80.2041,37.9,96,96,12.62,CA,2022-10-20 23:22:26
240,Bilma,18.6853,12.9164,75.42,19,0,8.61,NE,2022-10-20 23:22:27
241,Souillac,-20.5167,57.5167,70.18,88,75,8.05,MU,2022-10-20 23:22:27
242,Faanui,-16.4833,-151.75,78.85,75,61,13.13,PF,2022-10-20 23:22:28
243,Darayya,33.459,36.2374,63.82,49,66,3.87,SY,2022-10-20 23:22:29
244,Kysyl-Syr,63.8986,122.7617,17.74,96,94,6.73,RU,2022-10-20 23:22:29
245,Nantucket,41.2835,-70.0995,55.99,67,0,18.41,US,2022-10-20 23:22:30
246,Berck,50.4,1.6,55.38,100,0,4.61,FR,2022-10-20 23:22:31
247,Torbay,47.6666,-52.7314,59.58,96,100,25.32,CA,2022-10-20 23:22:31
248,Batagay,67.6333,134.6333,-4.45,99,77,1.79,RU,2022-10-20 23:22:32
249,Zlobin,45.2924,14.6541,52.59,81,0,2.3,HR,2022-10-20 23:22:33
250,Hirara,24.8,125.2833,77.27,94,75,17.27,JP,2022-10-20 23:22:33
251,Le Pradet,43.1066,6.0172,68.38,83,100,12.66,FR,2022-10-20 23:22:34
252,Constitucion,-35.3333,-72.4167,54.93,77,44,13.27,CL,2022-10-20 23:22:35
253,Vao,-22.6667,167.4833,71.29,69,99,20.33,NC,2022-10-20 23:22:36
254,Kununurra,-15.7667,128.7333,90.95,47,88,1.32,AU,2022-10-20 23:22:37
255,Provideniya,64.3833,-173.3,35.71,93,100,11.18,RU,2022-10-20 23:22:37
256,Bahia Blanca,-38.7196,-62.2724,63.73,41,20,12.33,AR,2022-10-20 23:22:38
257,Olinda,-8.0089,-34.8553,77.7,65,39,12.86,BR,2022-10-20 23:22:39
258,Okhotsk,59.3833,143.3,22.59,54,54,13.02,RU,2022-10-20 23:22:39
259,Pisco,-13.7,-76.2167,62.65,77,0,16.11,PE,2022-10-20 23:22:40
260,Aykhal,66.0,111.5,23.85,89,63,18.3,RU,2022-10-20 23:22:41
261,Katsuura,35.1333,140.3,66.45,57,0,6.08,JP,2022-10-20 23:22:41
262,Bandar-E Lengeh,26.5579,54.8807,83.17,52,3,2.75,IR,2022-10-20 23:22:42
263,Faaborg,55.0951,10.2423,50.0,90,100,16.26,DK,2022-10-20 23:22:43
264,Mayenne,48.3333,-0.6667,58.44,89,77,8.52,FR,2022-10-20 23:22:43
265,Dingle,10.9995,122.6711,79.2,87,100,2.66,PH,2022-10-20 23:22:44
266,Parksville,49.3163,-124.3195,67.68,43,89,20.71,CA,2022-10-20 23:18:22
267,Vangaindrano,-23.35,47.6,70.43,79,94,3.36,MG,2022-10-20 23:22:45
268,Saint-Pierre,-21.3393,55.4781,67.68,68,20,6.91,RE,2022-10-20 23:22:46
269,Bonthe,7.5264,-12.505,77.47,84,95,4.92,SL,2022-10-20 23:22:47
270,Lorengau,-2.0226,147.2712,84.9,67,87,5.26,PG,2022-10-20 23:22:47
271,Longyearbyen,78.2186,15.6401,19.24,68,0,11.5,SJ,2022-10-20 23:22:48
272,Gravdal,68.1214,13.5031,45.93,78,100,5.86,NO,2022-10-20 23:22:48
273,Oil City,41.4339,-79.7064,45.57,58,100,8.05,US,2022-10-20 23:20:02
274,Kokkola,63.8385,23.1307,38.93,96,40,3.44,FI,2022-10-20 23:23:20
275,Cidreira,-30.1811,-50.2056,66.92,95,100,12.71,BR,2022-10-20 23:23:21
276,Kamenka,51.3223,42.7678,43.77,80,100,18.63,RU,2022-10-20 23:23:21
277,Sinnamary,5.3833,-52.95,79.41,83,100,8.3,GF,2022-10-20 23:23:22
278,Palmer,42.1584,-72.3287,50.41,56,20,8.05,US,2022-10-20 23:22:25
279,Lashio,22.9333,97.75,60.69,96,0,1.57,MM,2022-10-20 23:23:24
280,Mwene-Ditu,-7.0,23.45,66.63,96,100,3.33,CD,2022-10-20 23:23:24
281,Iracoubo,5.4802,-53.2011,79.95,81,100,8.59,GF,2022-10-20 23:23:25
282,Sangmelima,2.9333,11.9833,67.12,100,100,2.26,CM,2022-10-20 23:23:25
283,Nanakuli,21.3906,-158.1547,82.35,61,0,10.36,US,2022-10-20 23:23:26
284,Yulara,-25.2406,130.9889,75.47,31,0,5.21,AU,2022-10-20 23:23:27
285,Hambantota,6.1241,81.1185,79.11,80,100,16.69,LK,2022-10-20 23:23:27
286,Hovd,48.0056,91.6419,33.26,40,95,7.9,MN,2022-10-20 23:23:28
287,Coahuayana,18.7333,-103.6833,81.41,84,100,3.96,MX,2022-10-20 23:23:29
288,Abu Dhabi,24.4667,54.3667,84.22,75,0,3.44,AE,2022-10-20 23:23:29
289,Sierra Madre,34.1617,-118.0528,93.24,29,20,7.0,US,2022-10-20 23:23:30
290,Impfondo,1.6381,18.0667,69.53,99,100,2.42,CG,2022-10-20 23:23:31
291,Saint George,37.1041,-113.5841,83.95,18,0,5.75,US,2022-10-20 23:19:34
292,Fereydun Kenar,36.6864,52.5225,76.41,46,99,9.24,IR,2022-10-20 23:23:32
293,Mount Gambier,-37.8333,140.7667,67.78,63,98,4.52,AU,2022-10-20 23:23:32
